??A,??B,????,????,????,????,????
113,148,同事,58,12,0,0
113,159,同事,58,12,0,0
113,135,朋友?前同事,50,8,8,0
113,128,朋友,72,48,0,0
114,138,朋友,72,48,0,0
114,145,朋友?前同事,50,8,8,0
115,154,同事,58,12,0,0
116,184,同事,58,12,0,0
116,159,朋友,72,48,0,0
117,180,朋友,72,48,0,0
118,173,同事,58,12,0,0
118,166,同事?朋友,72,48,0,0
119,176,同事,58,12,0,0
120,125,同事,58,12,0,0
120,141,朋友,72,48,0,0
121,184,同事,58,12,0,0
122,133,同事,58,12,0,0
122,124,朋友?爱人,82,85,0,0
122,126,朋友,72,48,0,0
123,164,同事,58,12,0,0
124,170,朋友,72,48,0,0
125,175,朋友,72,48,0,0
125,138,朋友?前同事,50,8,8,0
126,187,同事,58,12,0,0
127,158,同事,58,12,0,0
127,192,朋友,72,48,0,0
128,188,朋友?前同事,50,8,8,0
129,175,同事,58,12,0,0
129,194,朋友?前同事,50,8,8,0
130,139,同事,58,12,0,0
130,193,朋友?前同事,50,8,8,0
131,166,同事,58,12,0,0
132,170,同事,58,12,0,0
133,146,同事,58,12,0,0
133,145,朋友,72,48,0,0
135,162,同事,58,12,0,0
136,195,同事,58,12,0,0
136,142,朋友?前同事,50,8,8,0
136,169,朋友,72,48,0,0
138,168,同事,58,12,0,0
138,148,同事,58,12,0,0
139,161,同事,58,12,0,0
139,162,朋友,72,48,0,0
139,170,朋友?爱人,82,85,0,0
140,163,同事,58,12,0,0
140,200,同事,58,12,0,0
141,157,同事,58,12,0,0
142,165,同事,58,12,0,0
143,145,同事,58,12,0,0
144,162,同事,58,12,0,0
146,175,同事,58,12,0,0
147,196,朋友,72,48,0,0
148,187,朋友,72,48,0,0
148,176,朋友,72,48,0,0
150,166,朋友,72,48,0,0
151,192,同事,58,12,0,0
151,179,朋友,72,48,0,0
152,161,朋友?爱人,82,85,0,0
154,163,同事,58,12,0,0
154,199,朋友,72,48,0,0
155,179,同事,58,12,0,0
155,158,朋友,72,48,0,0
156,162,朋友?爱人,82,85,0,0
158,165,朋友?爱人,82,85,0,0
161,170,同事,58,12,0,0
164,173,朋友,72,48,0,0
167,177,朋友?前同事,50,8,8,0
168,179,朋友,72,48,0,0
169,173,同事,58,12,0,0
169,175,朋友?前同事,50,8,8,0
171,182,朋友?爱人,82,85,0,0
172,179,同事,58,12,0,0
173,195,朋友?前同事,50,8,8,0
174,198,朋友,72,48,0,0
176,200,同事,58,12,0,0
177,188,同事,58,12,0,0
177,191,同事,58,12,0,0
181,186,同事,58,12,0,0
185,192,同事,58,12,0,0
188,200,朋友,72,48,0,0
189,193,同事,58,12,0,0
189,190,朋友,72,48,0,0
