NPC代号,层级,职业,隶属地点,住所,工作日,工作时段,序列途径,序列等级,特殊需求
54,ordinary,图书管理员,大学,54号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
55,ordinary,码头工人,东码头,55号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
56,ordinary,编辑,报社,56号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
57,ordinary,酒保,酒馆,57号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
58,ordinary,舞台工,歌剧院,58号住所,星期一、星期四、星期五、星期六、星期日,evening、late_night,,,
59,ordinary,记者,报社,59号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
60,ordinary,印刷工,报社,60号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
61,ordinary,会计,银行,61号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
62,ordinary,工厂工人,工厂区,62号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
63,ordinary,舞台工,歌剧院,63号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
64,ordinary,占卜师,廷根占卜俱乐部,64号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
65,ordinary,占卜师,廷根占卜俱乐部,65号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
66,ordinary,歌剧演员,歌剧院,66号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
67,ordinary,警察,警察局,67号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
68,ordinary,裁缝,市场,68号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
69,ordinary,摊贩,市场,69号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
70,ordinary,酒保,酒馆,70号住所,星期二、星期三、星期四、星期五、星期六,evening、late_night,,,
71,ordinary,银行柜员,银行,71号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
72,ordinary,俱乐部接待员,廷根占卜俱乐部,72号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
73,ordinary,酒保,酒馆,73号住所,星期一、星期二、星期五、星期六、星期日,evening、late_night,,,
74,ordinary,私家侦探,侦探会所,74号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
75,ordinary,码头工人,东码头,75号住所,星期一、星期二、星期三、星期四、星期日,late_night、morning,,,
76,ordinary,大学生,大学,76号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
77,ordinary,歌剧演员,歌剧院,77号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
78,ordinary,银行警卫,银行,78号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
79,ordinary,工厂工人,工厂区,79号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
80,ordinary,医生,医院,80号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
81,ordinary,看护员,疯人院,81号住所,星期一、星期二、星期三、星期六、星期日,evening、late_night,,,
82,ordinary,看护员,疯人院,82号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
83,ordinary,医生,医院,83号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
84,ordinary,大学生,大学,84号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
85,ordinary,印刷工,报社,85号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
86,ordinary,教士,黑夜女神教堂,86号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
87,ordinary,舞台工,歌剧院,87号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
88,ordinary,酒保,酒馆,88号住所,星期一、星期二、星期三、星期六、星期日,evening、late_night,,,
89,ordinary,工厂工人,工厂区,89号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
90,ordinary,护工,医院,90号住所,星期一、星期二、星期三、星期四、星期五,evening、late_night,,,
91,ordinary,摊贩,市场,91号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
92,ordinary,厨师,餐厅,92号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
93,ordinary,餐厅侍者,餐厅,93号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
94,ordinary,码头调度员,东码头,94号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
95,ordinary,侦探助理,侦探会所,95号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
96,ordinary,药剂师,医院,96号住所,星期一、星期二、星期三、星期四、星期日,evening、late_night,,,
97,ordinary,舞台工,歌剧院,97号住所,星期一、星期二、星期三、星期四、星期五,evening、late_night,,,
98,ordinary,舞台工,歌剧院,98号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
99,ordinary,车间主管,工厂区,99号住所,星期三、星期四、星期五、星期六、星期日,late_night、morning,,,
100,ordinary,摊贩,市场,100号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
101,ordinary,乐师,歌剧院,101号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
102,ordinary,车间主管,工厂区,102号住所,星期一、星期二、星期三、星期六、星期日,late_night、morning,,,
103,ordinary,酒保,酒馆,103号住所,星期一、星期二、星期三、星期四、星期日,evening、late_night,,,
104,ordinary,护士,医院,104号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
105,ordinary,货运书记员,东码头,105号住所,星期二、星期三、星期四、星期五、星期六,late_night、morning,,,
106,ordinary,售票员,歌剧院,106号住所,星期三、星期四、星期五、星期六、星期日,evening、late_night,,,
107,ordinary,码头工人,东码头,107号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
108,ordinary,酒保,酒馆,108号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
109,ordinary,医生,医院,109号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
110,ordinary,杂货商,市场,110号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
111,ordinary,私家侦探,侦探会所,111号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
112,ordinary,酒保,酒馆,112号住所,星期二、星期三、星期四、星期五、星期六,evening、late_night,,,
113,ordinary,厨师,餐厅,113号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
114,ordinary,大学教师,大学,114号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
115,ordinary,大学教师,大学,115号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
116,ordinary,售票员,歌剧院,116号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,,,
117,ordinary,银行警卫,银行,117号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
118,ordinary,机械师,工厂区,118号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
119,ordinary,大学生,大学,119号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
120,ordinary,看护员,疯人院,120号住所,星期三、星期四、星期五、星期六、星期日,evening、late_night,,,
121,ordinary,歌剧演员,歌剧院,121号住所,星期一、星期四、星期五、星期六、星期日,evening、late_night,,,
122,ordinary,俱乐部接待员,廷根占卜俱乐部,122号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
123,ordinary,看护员,疯人院,123号住所,星期一、星期二、星期三、星期六、星期日,evening、late_night,,,
124,ordinary,酒馆侍者,酒馆,124号住所,星期一、星期二、星期三、星期四、星期日,evening、late_night,,,
125,ordinary,看护员,疯人院,125号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
126,ordinary,印刷工,报社,126号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
127,ordinary,售票员,歌剧院,127号住所,星期三、星期四、星期五、星期六、星期日,evening、late_night,,,
128,ordinary,会计,银行,128号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
129,ordinary,俱乐部接待员,廷根占卜俱乐部,129号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
130,ordinary,私家侦探,侦探会所,130号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
131,ordinary,机械师,工厂区,131号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
132,ordinary,私家侦探,侦探会所,132号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
133,ordinary,占卜师,廷根占卜俱乐部,133号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
134,ordinary,码头工人,东码头,134号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
135,ordinary,印刷工,报社,135号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
136,ordinary,警察,警察局,136号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
137,ordinary,编辑,报社,137号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
138,ordinary,餐厅经理,餐厅,138号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
139,ordinary,侦探助理,侦探会所,139号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
140,ordinary,图书管理员,大学,140号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
141,ordinary,编辑,报社,141号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
142,ordinary,杂货商,市场,142号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
143,ordinary,文职员工,黑荆棘安保公司,143号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
144,ordinary,编辑,报社,144号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
145,ordinary,文职员工,黑荆棘安保公司,145号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
146,ordinary,占卜师,廷根占卜俱乐部,146号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
147,ordinary,护士,医院,147号住所,星期二、星期三、星期四、星期五、星期六,evening、late_night,,,
148,ordinary,厨师,餐厅,148号住所,星期三、星期四、星期五、星期六、星期日,evening、late_night,,,
149,ordinary,护士,医院,149号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
150,ordinary,教士,黑夜女神教堂,150号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
151,ordinary,护士,医院,151号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
152,ordinary,护士,医院,152号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
153,ordinary,银行警卫,银行,153号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
154,ordinary,大学教师,大学,154号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
155,ordinary,裁缝,市场,155号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
156,ordinary,工厂工人,工厂区,156号住所,星期一、星期四、星期五、星期六、星期日,late_night、morning,,,
157,ordinary,印刷工,报社,157号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
158,ordinary,歌剧演员,歌剧院,158号住所,星期一、星期二、星期三、星期六、星期日,afternoon、evening,,,
159,ordinary,餐厅侍者,餐厅,159号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
160,ordinary,占卜师,廷根占卜俱乐部,160号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
161,ordinary,私家侦探,侦探会所,161号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
162,ordinary,编辑,报社,162号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
163,ordinary,大学生,大学,163号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
164,ordinary,看护员,疯人院,164号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
165,ordinary,裁缝,市场,165号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
166,ordinary,工厂工人,工厂区,166号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
167,ordinary,乐师,歌剧院,167号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
168,ordinary,餐厅经理,餐厅,168号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
169,ordinary,机械师,工厂区,169号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
170,ordinary,私家侦探,侦探会所,170号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
171,ordinary,舞台工,歌剧院,171号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
172,ordinary,杂货商,市场,172号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
173,ordinary,机械师,工厂区,173号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
174,ordinary,裁缝,市场,174号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
175,ordinary,俱乐部接待员,廷根占卜俱乐部,175号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
176,ordinary,图书管理员,大学,176号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
177,ordinary,码头调度员,东码头,177号住所,星期一、星期四、星期五、星期六、星期日,late_night、morning,,,
178,ordinary,侦探助理,侦探会所,178号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
179,ordinary,杂货商,市场,179号住所,星期一、星期二、星期三、星期六、星期日,morning、afternoon,,,
180,ordinary,裁缝,市场,180号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
181,ordinary,医生,医院,181号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
182,ordinary,摊贩,市场,182号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
183,ordinary,舞台工,歌剧院,183号住所,星期三、星期四、星期五、星期六、星期日,afternoon、evening,,,
184,ordinary,舞台工,歌剧院,184号住所,星期一、星期四、星期五、星期六、星期日,evening、late_night,,,
185,ordinary,医生,医院,185号住所,星期一、星期二、星期五、星期六、星期日,afternoon、evening,,,
186,ordinary,医生,医院,186号住所,星期一、星期二、星期三、星期六、星期日,evening、late_night,,,
187,ordinary,印刷工,报社,187号住所,星期一、星期二、星期三、星期四、星期日,morning、afternoon,,,
188,ordinary,码头工人,东码头,188号住所,星期一、星期二、星期三、星期四、星期五,afternoon、evening,,,
189,ordinary,酒馆侍者,酒馆,189号住所,星期二、星期三、星期四、星期五、星期六,afternoon、evening,,,
190,ordinary,舞台工,歌剧院,190号住所,星期三、星期四、星期五、星期六、星期日,evening、late_night,,,
191,ordinary,货运书记员,东码头,191号住所,星期一、星期四、星期五、星期六、星期日,afternoon、evening,,,
192,ordinary,护士,医院,192号住所,星期一、星期二、星期五、星期六、星期日,evening、late_night,,,
193,ordinary,酒馆侍者,酒馆,193号住所,星期一、星期二、星期三、星期六、星期日,evening、late_night,,,
194,ordinary,酒馆侍者,酒馆,194号住所,星期一、星期二、星期三、星期四、星期日,afternoon、evening,,,
195,ordinary,警察,警察局,195号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
196,ordinary,教士,黑夜女神教堂,196号住所,星期二、星期三、星期四、星期五、星期六,morning、afternoon,,,
197,ordinary,印刷工,报社,197号住所,星期三、星期四、星期五、星期六、星期日,morning、afternoon,,,
198,ordinary,占卜师,廷根占卜俱乐部,198号住所,星期一、星期四、星期五、星期六、星期日,morning、afternoon,,,
199,ordinary,编辑,报社,199号住所,星期一、星期二、星期五、星期六、星期日,morning、afternoon,,,
200,ordinary,大学生,大学,200号住所,星期一、星期二、星期三、星期四、星期五,morning、afternoon,,,
